"","data3.DspProbCodeDescription","data3.PrimaryProbDescription","Freq"
"555","Other Medical/Trauma","Cardiogenic Shock",0
"556","Palpitations","Cardiogenic Shock",0
"557","Paralysis/Spinal Trauma","Cardiogenic Shock",0
"558","Poisoning/Toxic Exposure","Cardiogenic Shock",0
"559","Resp. Arrest","Cardiogenic Shock",0
"560","Resp. Disease","Cardiogenic Shock",0
"561","Resp. Distress","Cardiogenic Shock",1
"562","Seizure/Post Ictal","Cardiogenic Shock",0
"563","Sepsis (Prev. Dx)","Cardiogenic Shock",0
"564","Stroke/TIA","Cardiogenic Shock",0
"565","Syncope","Cardiogenic Shock",0
"566","Trauma Unknown (Dispatch Only)","Cardiogenic Shock",0
"567","Traumatic Arrest","Cardiogenic Shock",0
"568","Treatment - Diagnostic/Return","Cardiogenic Shock",0
"569","Unconscious","Cardiogenic Shock",0
"570","Unknown (Dispatch Only)","Cardiogenic Shock",0
"571","","Chest Trauma",0
"572","Abdominal Pain NYD","Chest Trauma",0
"573","Abdominal Trauma","Chest Trauma",0
"574","Airway Trauma","Chest Trauma",0
"575","Alcohol Intoxication","Chest Trauma",0
"576","Altered LOC","Chest Trauma",0
"577","Anaphylaxis","Chest Trauma",0
"578","Back Pain","Chest Trauma",0
"579","Behaviour/Psychiatric","Chest Trauma",0
"580","Cardiac Trauma","Chest Trauma",0
"581","Cardiac/Medical Arrest","Chest Trauma",0
"582","Chest Trauma","Chest Trauma",3
"583","CHF","Chest Trauma",0
"584","Confusion/Disorientation","Chest Trauma",0
"585","Convalescent/Invalid/Return Home","Chest Trauma",0
"586","Diabetic Emergency","Chest Trauma",0
"587","Drug Overdose","Chest Trauma",0
"588","Exposure","Chest Trauma",0
"589","General Illness/Weakness","Chest Trauma",0
"590","GI Problems/Pain/Vomiting/Nausea","Chest Trauma",0
"591","GU Problem/Pain","Chest Trauma",0
"592","Gynecological Emergency","Chest Trauma",0
"593","Head/Brain Trauma","Chest Trauma",0
"594","Headache","Chest Trauma",0
"595","Hemorrhage Minor","Chest Trauma",0
"596","Hemorrhage/Hypovolemia Major","Chest Trauma",0
"597","Hypotension Non-Traumatic","Chest Trauma",0
"598","Inhalation Injury","Chest Trauma",0
"599","Ischemic Chest Pain","Chest Trauma",0
"600","Lift Assist (Dispatch Only)","Chest Trauma",0
"601","Local Allergic Reaction","Chest Trauma",0
"602","Musk/Skel Trauma","Chest Trauma",0
"603","MVC (Dispatch Only)","Chest Trauma",1
"604","Myocardial Infarction(Dx)","Chest Trauma",0
"605","Newborn/Neonatal","Chest Trauma",0
"606","Obstetrical Emergency","Chest Trauma",0
"607","Obstruc./Anatomical/Med/Other","Chest Trauma",0
"608","Obstruc./Foreign Body","Chest Trauma",0
"609","Organ Donor","Chest Trauma",0
"610","Organ Retrieval","Chest Trauma",0
"611","Other Cardiac","Chest Trauma",0
"612","Other Medical/Trauma","Chest Trauma",0
"613","Palpitations","Chest Trauma",0
"614","Paralysis/Spinal Trauma","Chest Trauma",0
"615","Poisoning/Toxic Exposure","Chest Trauma",0
"616","Resp. Arrest","Chest Trauma",0
"617","Resp. Disease","Chest Trauma",0
"618","Resp. Distress","Chest Trauma",0
"619","Seizure/Post Ictal","Chest Trauma",0
"620","Sepsis (Prev. Dx)","Chest Trauma",0
"621","Stroke/TIA","Chest Trauma",0
"622","Syncope","Chest Trauma",0
"623","Trauma Unknown (Dispatch Only)","Chest Trauma",0
"624","Traumatic Arrest","Chest Trauma",0
"625","Treatment - Diagnostic/Return","Chest Trauma",0
"626","Unconscious","Chest Trauma",0
"627","Unknown (Dispatch Only)","Chest Trauma",0
"628","","CHF",14
"629","Abdominal Pain NYD","CHF",0
"630","Abdominal Trauma","CHF",0
"631","Airway Trauma","CHF",0
"632","Alcohol Intoxication","CHF",0
"633","Altered LOC","CHF",1
"634","Anaphylaxis","CHF",0
"635","Back Pain","CHF",0
"636","Behaviour/Psychiatric","CHF",0
"637","Cardiac Trauma","CHF",0
"638","Cardiac/Medical Arrest","CHF",0
"639","Chest Trauma","CHF",0
"640","CHF","CHF",10
"641","Confusion/Disorientation","CHF",0
"642","Convalescent/Invalid/Return Home","CHF",0
"643","Diabetic Emergency","CHF",0
"644","Drug Overdose","CHF",0
"645","Exposure","CHF",0
"646","General Illness/Weakness","CHF",0
"647","GI Problems/Pain/Vomiting/Nausea","CHF",0
"648","GU Problem/Pain","CHF",0
"649","Gynecological Emergency","CHF",0
"650","Head/Brain Trauma","CHF",0
"651","Headache","CHF",0
"652","Hemorrhage Minor","CHF",0
"653","Hemorrhage/Hypovolemia Major","CHF",0
"654","Hypotension Non-Traumatic","CHF",0
"655","Inhalation Injury","CHF",0
"656","Ischemic Chest Pain","CHF",4
"657","Lift Assist (Dispatch Only)","CHF",0
"658","Local Allergic Reaction","CHF",0
"659","Musk/Skel Trauma","CHF",0
"660","MVC (Dispatch Only)","CHF",0
"661","Myocardial Infarction(Dx)","CHF",0
"662","Newborn/Neonatal","CHF",0
"663","Obstetrical Emergency","CHF",0
"664","Obstruc./Anatomical/Med/Other","CHF",0
"665","Obstruc./Foreign Body","CHF",0
"666","Organ Donor","CHF",0
"667","Organ Retrieval","CHF",0
"668","Other Cardiac","CHF",0
"669","Other Medical/Trauma","CHF",0
"670","Palpitations","CHF",0
"671","Paralysis/Spinal Trauma","CHF",0
"672","Poisoning/Toxic Exposure","CHF",0
"673","Resp. Arrest","CHF",0
"674","Resp. Disease","CHF",0
"675","Resp. Distress","CHF",17
"676","Seizure/Post Ictal","CHF",0
"677","Sepsis (Prev. Dx)","CHF",0
"678","Stroke/TIA","CHF",0
"679","Syncope","CHF",0
"680","Trauma Unknown (Dispatch Only)","CHF",0
"681","Traumatic Arrest","CHF",0
"682","Treatment - Diagnostic/Return","CHF",0
"683","Unconscious","CHF",0
"684","Unknown (Dispatch Only)","CHF",0
"685","","Confusion/Disorientation",3
"686","Abdominal Pain NYD","Confusion/Disorientation",0
"687","Abdominal Trauma","Confusion/Disorientation",0
"688","Airway Trauma","Confusion/Disorientation",0
"689","Alcohol Intoxication","Confusion/Disorientation",1
"690","Altered LOC","Confusion/Disorientation",1
"691","Anaphylaxis","Confusion/Disorientation",0
"692","Back Pain","Confusion/Disorientation",0
"693","Behaviour/Psychiatric","Confusion/Disorientation",0
"694","Cardiac Trauma","Confusion/Disorientation",0
"695","Cardiac/Medical Arrest","Confusion/Disorientation",0
"696","Chest Trauma","Confusion/Disorientation",0
"697","CHF","Confusion/Disorientation",0
"698","Confusion/Disorientation","Confusion/Disorientation",27
"699","Convalescent/Invalid/Return Home","Confusion/Disorientation",0
"700","Diabetic Emergency","Confusion/Disorientation",1
"701","Drug Overdose","Confusion/Disorientation",1
"702","Exposure","Confusion/Disorientation",0
"703","General Illness/Weakness","Confusion/Disorientation",2
"704","GI Problems/Pain/Vomiting/Nausea","Confusion/Disorientation",0
"705","GU Problem/Pain","Confusion/Disorientation",0
"706","Gynecological Emergency","Confusion/Disorientation",0
"707","Head/Brain Trauma","Confusion/Disorientation",1
"708","Headache","Confusion/Disorientation",0
"709","Hemorrhage Minor","Confusion/Disorientation",0
"710","Hemorrhage/Hypovolemia Major","Confusion/Disorientation",0
"711","Hypotension Non-Traumatic","Confusion/Disorientation",0
"712","Inhalation Injury","Confusion/Disorientation",0
"713","Ischemic Chest Pain","Confusion/Disorientation",1
"714","Lift Assist (Dispatch Only)","Confusion/Disorientation",0
"715","Local Allergic Reaction","Confusion/Disorientation",0
"716","Musk/Skel Trauma","Confusion/Disorientation",0
"717","MVC (Dispatch Only)","Confusion/Disorientation",2
"718","Myocardial Infarction(Dx)","Confusion/Disorientation",0
"719","Newborn/Neonatal","Confusion/Disorientation",0
"720","Obstetrical Emergency","Confusion/Disorientation",0
"721","Obstruc./Anatomical/Med/Other","Confusion/Disorientation",0
"722","Obstruc./Foreign Body","Confusion/Disorientation",0
"723","Organ Donor","Confusion/Disorientation",0
"724","Organ Retrieval","Confusion/Disorientation",0
"725","Other Cardiac","Confusion/Disorientation",0
"726","Other Medical/Trauma","Confusion/Disorientation",1
"727","Palpitations","Confusion/Disorientation",0
"728","Paralysis/Spinal Trauma","Confusion/Disorientation",0
"729","Poisoning/Toxic Exposure","Confusion/Disorientation",0
"730","Resp. Arrest","Confusion/Disorientation",0
"731","Resp. Disease","Confusion/Disorientation",0
"732","Resp. Distress","Confusion/Disorientation",1
"733","Seizure/Post Ictal","Confusion/Disorientation",2
"734","Sepsis (Prev. Dx)","Confusion/Disorientation",0
"735","Stroke/TIA","Confusion/Disorientation",7
"736","Syncope","Confusion/Disorientation",0
"737","Trauma Unknown (Dispatch Only)","Confusion/Disorientation",1
"738","Traumatic Arrest","Confusion/Disorientation",0
"739","Treatment - Diagnostic/Return","Confusion/Disorientation",0
"740","Unconscious","Confusion/Disorientation",7
"741","Unknown (Dispatch Only)","Confusion/Disorientation",0
"742","","Convalescent/Invalid/Return Home",1
"743","Abdominal Pain NYD","Convalescent/Invalid/Return Home",0
"744","Abdominal Trauma","Convalescent/Invalid/Return Home",0
"745","Airway Trauma","Convalescent/Invalid/Return Home",0
"746","Alcohol Intoxication","Convalescent/Invalid/Return Home",0
"747","Altered LOC","Convalescent/Invalid/Return Home",0
"748","Anaphylaxis","Convalescent/Invalid/Return Home",0
"749","Back Pain","Convalescent/Invalid/Return Home",0
"750","Behaviour/Psychiatric","Convalescent/Invalid/Return Home",0
"751","Cardiac Trauma","Convalescent/Invalid/Return Home",0
"752","Cardiac/Medical Arrest","Convalescent/Invalid/Return Home",0
"753","Chest Trauma","Convalescent/Invalid/Return Home",0
"754","CHF","Convalescent/Invalid/Return Home",0
"755","Confusion/Disorientation","Convalescent/Invalid/Return Home",0
"756","Convalescent/Invalid/Return Home","Convalescent/Invalid/Return Home",0
"757","Diabetic Emergency","Convalescent/Invalid/Return Home",0
"758","Drug Overdose","Convalescent/Invalid/Return Home",0
"759","Exposure","Convalescent/Invalid/Return Home",0
"760","General Illness/Weakness","Convalescent/Invalid/Return Home",0
"761","GI Problems/Pain/Vomiting/Nausea","Convalescent/Invalid/Return Home",0
"762","GU Problem/Pain","Convalescent/Invalid/Return Home",0
"763","Gynecological Emergency","Convalescent/Invalid/Return Home",0
"764","Head/Brain Trauma","Convalescent/Invalid/Return Home",0
"765","Headache","Convalescent/Invalid/Return Home",0
"766","Hemorrhage Minor","Convalescent/Invalid/Return Home",0
"767","Hemorrhage/Hypovolemia Major","Convalescent/Invalid/Return Home",0
"768","Hypotension Non-Traumatic","Convalescent/Invalid/Return Home",0
"769","Inhalation Injury","Convalescent/Invalid/Return Home",0
"770","Ischemic Chest Pain","Convalescent/Invalid/Return Home",0
"771","Lift Assist (Dispatch Only)","Convalescent/Invalid/Return Home",0
"772","Local Allergic Reaction","Convalescent/Invalid/Return Home",0
"773","Musk/Skel Trauma","Convalescent/Invalid/Return Home",0
"774","MVC (Dispatch Only)","Convalescent/Invalid/Return Home",0
"775","Myocardial Infarction(Dx)","Convalescent/Invalid/Return Home",0
"776","Newborn/Neonatal","Convalescent/Invalid/Return Home",0
"777","Obstetrical Emergency","Convalescent/Invalid/Return Home",0
"778","Obstruc./Anatomical/Med/Other","Convalescent/Invalid/Return Home",0
"779","Obstruc./Foreign Body","Convalescent/Invalid/Return Home",0
"780","Organ Donor","Convalescent/Invalid/Return Home",0
"781","Organ Retrieval","Convalescent/Invalid/Return Home",0
"782","Other Cardiac","Convalescent/Invalid/Return Home",0
"783","Other Medical/Trauma","Convalescent/Invalid/Return Home",0
"784","Palpitations","Convalescent/Invalid/Return Home",0
"785","Paralysis/Spinal Trauma","Convalescent/Invalid/Return Home",0
"786","Poisoning/Toxic Exposure","Convalescent/Invalid/Return Home",0
"787","Resp. Arrest","Convalescent/Invalid/Return Home",0
"788","Resp. Disease","Convalescent/Invalid/Return Home",0
"789","Resp. Distress","Convalescent/Invalid/Return Home",0
"790","Seizure/Post Ictal","Convalescent/Invalid/Return Home",0
"791","Sepsis (Prev. Dx)","Convalescent/Invalid/Return Home",0
"792","Stroke/TIA","Convalescent/Invalid/Return Home",0
"793","Syncope","Convalescent/Invalid/Return Home",0
"794","Trauma Unknown (Dispatch Only)","Convalescent/Invalid/Return Home",0
"795","Traumatic Arrest","Convalescent/Invalid/Return Home",0
"796","Treatment - Diagnostic/Return","Convalescent/Invalid/Return Home",0
"797","Unconscious","Convalescent/Invalid/Return Home",0
"798","Unknown (Dispatch Only)","Convalescent/Invalid/Return Home",0
"799","","Diabetic Emergency",54
"800","Abdominal Pain NYD","Diabetic Emergency",0
"801","Abdominal Trauma","Diabetic Emergency",0
"802","Airway Trauma","Diabetic Emergency",0
"803","Alcohol Intoxication","Diabetic Emergency",0
"804","Altered LOC","Diabetic Emergency",4
"805","Anaphylaxis","Diabetic Emergency",0
"806","Back Pain","Diabetic Emergency",0
"807","Behaviour/Psychiatric","Diabetic Emergency",0
"808","Cardiac Trauma","Diabetic Emergency",0
"809","Cardiac/Medical Arrest","Diabetic Emergency",0
"810","Chest Trauma","Diabetic Emergency",0
"811","CHF","Diabetic Emergency",0
"812","Confusion/Disorientation","Diabetic Emergency",8
"813","Convalescent/Invalid/Return Home","Diabetic Emergency",0
"814","Diabetic Emergency","Diabetic Emergency",240
"815","Drug Overdose","Diabetic Emergency",1
"816","Exposure","Diabetic Emergency",0
"817","General Illness/Weakness","Diabetic Emergency",2
"818","GI Problems/Pain/Vomiting/Nausea","Diabetic Emergency",3
"819","GU Problem/Pain","Diabetic Emergency",0
"820","Gynecological Emergency","Diabetic Emergency",0
"821","Head/Brain Trauma","Diabetic Emergency",1
"822","Headache","Diabetic Emergency",0
"823","Hemorrhage Minor","Diabetic Emergency",0
"824","Hemorrhage/Hypovolemia Major","Diabetic Emergency",0
"825","Hypotension Non-Traumatic","Diabetic Emergency",0
"826","Inhalation Injury","Diabetic Emergency",0
"827","Ischemic Chest Pain","Diabetic Emergency",4
"828","Lift Assist (Dispatch Only)","Diabetic Emergency",0
"829","Local Allergic Reaction","Diabetic Emergency",0
"830","Musk/Skel Trauma","Diabetic Emergency",2
"831","MVC (Dispatch Only)","Diabetic Emergency",1
"832","Myocardial Infarction(Dx)","Diabetic Emergency",0
"833","Newborn/Neonatal","Diabetic Emergency",0
"834","Obstetrical Emergency","Diabetic Emergency",0
"835","Obstruc./Anatomical/Med/Other","Diabetic Emergency",0
"836","Obstruc./Foreign Body","Diabetic Emergency",0
"837","Organ Donor","Diabetic Emergency",0
"838","Organ Retrieval","Diabetic Emergency",0
"839","Other Cardiac","Diabetic Emergency",0
"840","Other Medical/Trauma","Diabetic Emergency",8
"841","Palpitations","Diabetic Emergency",1
"842","Paralysis/Spinal Trauma","Diabetic Emergency",0
"843","Poisoning/Toxic Exposure","Diabetic Emergency",0
"844","Resp. Arrest","Diabetic Emergency",0
"845","Resp. Disease","Diabetic Emergency",0
"846","Resp. Distress","Diabetic Emergency",12
"847","Seizure/Post Ictal","Diabetic Emergency",8
"848","Sepsis (Prev. Dx)","Diabetic Emergency",0
"849","Stroke/TIA","Diabetic Emergency",18
"850","Syncope","Diabetic Emergency",2
"851","Trauma Unknown (Dispatch Only)","Diabetic Emergency",0
"852","Traumatic Arrest","Diabetic Emergency",0
"853","Treatment - Diagnostic/Return","Diabetic Emergency",0
"854","Unconscious","Diabetic Emergency",32
"855","Unknown (Dispatch Only)","Diabetic Emergency",2
"856","","Drowning",0
"857","Abdominal Pain NYD","Drowning",0
"858","Abdominal Trauma","Drowning",0
"859","Airway Trauma","Drowning",0
"860","Alcohol Intoxication","Drowning",0
"861","Altered LOC","Drowning",0
"862","Anaphylaxis","Drowning",0
"863","Back Pain","Drowning",0
"864","Behaviour/Psychiatric","Drowning",0
"865","Cardiac Trauma","Drowning",0
"866","Cardiac/Medical Arrest","Drowning",0
"867","Chest Trauma","Drowning",0
"868","CHF","Drowning",0
"869","Confusion/Disorientation","Drowning",0
"870","Convalescent/Invalid/Return Home","Drowning",0
"871","Diabetic Emergency","Drowning",0
"872","Drug Overdose","Drowning",0
"873","Exposure","Drowning",0
"874","General Illness/Weakness","Drowning",0
"875","GI Problems/Pain/Vomiting/Nausea","Drowning",0
"876","GU Problem/Pain","Drowning",0
"877","Gynecological Emergency","Drowning",0
"878","Head/Brain Trauma","Drowning",0
"879","Headache","Drowning",0
"880","Hemorrhage Minor","Drowning",0
"881","Hemorrhage/Hypovolemia Major","Drowning",0
"882","Hypotension Non-Traumatic","Drowning",0
"883","Inhalation Injury","Drowning",0
"884","Ischemic Chest Pain","Drowning",0
"885","Lift Assist (Dispatch Only)","Drowning",0
"886","Local Allergic Reaction","Drowning",0
"887","Musk/Skel Trauma","Drowning",0
"888","MVC (Dispatch Only)","Drowning",0
"889","Myocardial Infarction(Dx)","Drowning",0
"890","Newborn/Neonatal","Drowning",0
"891","Obstetrical Emergency","Drowning",0
"892","Obstruc./Anatomical/Med/Other","Drowning",0
"893","Obstruc./Foreign Body","Drowning",0
"894","Organ Donor","Drowning",0
"895","Organ Retrieval","Drowning",0
"896","Other Cardiac","Drowning",0
"897","Other Medical/Trauma","Drowning",0
"898","Palpitations","Drowning",0
"899","Paralysis/Spinal Trauma","Drowning",0
"900","Poisoning/Toxic Exposure","Drowning",1
"901","Resp. Arrest","Drowning",0
"902","Resp. Disease","Drowning",0
"903","Resp. Distress","Drowning",0
"904","Seizure/Post Ictal","Drowning",0
"905","Sepsis (Prev. Dx)","Drowning",0
"906","Stroke/TIA","Drowning",0
"907","Syncope","Drowning",0
"908","Trauma Unknown (Dispatch Only)","Drowning",0
"909","Traumatic Arrest","Drowning",0
"910","Treatment - Diagnostic/Return","Drowning",0
"911","Unconscious","Drowning",0
"912","Unknown (Dispatch Only)","Drowning",0
"913","","Drug Overdose",17
"914","Abdominal Pain NYD","Drug Overdose",0
"915","Abdominal Trauma","Drug Overdose",0
"916","Airway Trauma","Drug Overdose",0
"917","Alcohol Intoxication","Drug Overdose",2
"918","Altered LOC","Drug Overdose",0
"919","Anaphylaxis","Drug Overdose",0
"920","Back Pain","Drug Overdose",0
"921","Behaviour/Psychiatric","Drug Overdose",3
"922","Cardiac Trauma","Drug Overdose",0
"923","Cardiac/Medical Arrest","Drug Overdose",2
"924","Chest Trauma","Drug Overdose",0
"925","CHF","Drug Overdose",0
"926","Confusion/Disorientation","Drug Overdose",1
"927","Convalescent/Invalid/Return Home","Drug Overdose",0
"928","Diabetic Emergency","Drug Overdose",2
"929","Drug Overdose","Drug Overdose",70
"930","Exposure","Drug Overdose",0
"931","General Illness/Weakness","Drug Overdose",0
"932","GI Problems/Pain/Vomiting/Nausea","Drug Overdose",1
"933","GU Problem/Pain","Drug Overdose",0
"934","Gynecological Emergency","Drug Overdose",0
"935","Head/Brain Trauma","Drug Overdose",0
"936","Headache","Drug Overdose",0
"937","Hemorrhage Minor","Drug Overdose",0
"938","Hemorrhage/Hypovolemia Major","Drug Overdose",0
"939","Hypotension Non-Traumatic","Drug Overdose",0
"940","Inhalation Injury","Drug Overdose",0
"941","Ischemic Chest Pain","Drug Overdose",0
"942","Lift Assist (Dispatch Only)","Drug Overdose",0
"943","Local Allergic Reaction","Drug Overdose",0
"944","Musk/Skel Trauma","Drug Overdose",0
"945","MVC (Dispatch Only)","Drug Overdose",0
"946","Myocardial Infarction(Dx)","Drug Overdose",0
"947","Newborn/Neonatal","Drug Overdose",0
"948","Obstetrical Emergency","Drug Overdose",0
"949","Obstruc./Anatomical/Med/Other","Drug Overdose",0
"950","Obstruc./Foreign Body","Drug Overdose",1
"951","Organ Donor","Drug Overdose",0
"952","Organ Retrieval","Drug Overdose",0
"953","Other Cardiac","Drug Overdose",0
"954","Other Medical/Trauma","Drug Overdose",0
"955","Palpitations","Drug Overdose",0
"956","Paralysis/Spinal Trauma","Drug Overdose",0
"957","Poisoning/Toxic Exposure","Drug Overdose",0
"958","Resp. Arrest","Drug Overdose",0
"959","Resp. Disease","Drug Overdose",0
"960","Resp. Distress","Drug Overdose",7
"961","Seizure/Post Ictal","Drug Overdose",1
"962","Sepsis (Prev. Dx)","Drug Overdose",0
"963","Stroke/TIA","Drug Overdose",0
"964","Syncope","Drug Overdose",0
"965","Trauma Unknown (Dispatch Only)","Drug Overdose",0
"966","Traumatic Arrest","Drug Overdose",0
"967","Treatment - Diagnostic/Return","Drug Overdose",0
"968","Unconscious","Drug Overdose",10
"969","Unknown (Dispatch Only)","Drug Overdose",0
"970","","Exposure",1
"971","Abdominal Pain NYD","Exposure",0
"972","Abdominal Trauma","Exposure",0
"973","Airway Trauma","Exposure",0
"974","Alcohol Intoxication","Exposure",1
"975","Altered LOC","Exposure",0
"976","Anaphylaxis","Exposure",0
"977","Back Pain","Exposure",0
"978","Behaviour/Psychiatric","Exposure",0
"979","Cardiac Trauma","Exposure",0
"980","Cardiac/Medical Arrest","Exposure",1
"981","Chest Trauma","Exposure",0
"982","CHF","Exposure",0
"983","Confusion/Disorientation","Exposure",0
"984","Convalescent/Invalid/Return Home","Exposure",0
"985","Diabetic Emergency","Exposure",0
"986","Drug Overdose","Exposure",0
"987","Exposure","Exposure",6
"988","General Illness/Weakness","Exposure",0
"989","GI Problems/Pain/Vomiting/Nausea","Exposure",0
"990","GU Problem/Pain","Exposure",0
"991","Gynecological Emergency","Exposure",0
"992","Head/Brain Trauma","Exposure",0
"993","Headache","Exposure",0
"994","Hemorrhage Minor","Exposure",0
"995","Hemorrhage/Hypovolemia Major","Exposure",0
"996","Hypotension Non-Traumatic","Exposure",0
"997","Inhalation Injury","Exposure",0
"998","Ischemic Chest Pain","Exposure",2
"999","Lift Assist (Dispatch Only)","Exposure",1
"1000","Local Allergic Reaction","Exposure",0
"1001","Musk/Skel Trauma","Exposure",0
"1002","MVC (Dispatch Only)","Exposure",0
"1003","Myocardial Infarction(Dx)","Exposure",0
"1004","Newborn/Neonatal","Exposure",0
"1005","Obstetrical Emergency","Exposure",0
"1006","Obstruc./Anatomical/Med/Other","Exposure",0
"1007","Obstruc./Foreign Body","Exposure",0
"1008","Organ Donor","Exposure",0
"1009","Organ Retrieval","Exposure",0
"1010","Other Cardiac","Exposure",0
"1011","Other Medical/Trauma","Exposure",1
"1012","Palpitations","Exposure",0
"1013","Paralysis/Spinal Trauma","Exposure",0
"1014","Poisoning/Toxic Exposure","Exposure",0
"1015","Resp. Arrest","Exposure",0
"1016","Resp. Disease","Exposure",0
"1017","Resp. Distress","Exposure",0
"1018","Seizure/Post Ictal","Exposure",0
"1019","Sepsis (Prev. Dx)","Exposure",0
"1020","Stroke/TIA","Exposure",0
"1021","Syncope","Exposure",1
"1022","Trauma Unknown (Dispatch Only)","Exposure",0
"1023","Traumatic Arrest","Exposure",0
"1024","Treatment - Diagnostic/Return","Exposure",0
"1025","Unconscious","Exposure",1
"1026","Unknown (Dispatch Only)","Exposure",0
"1027","","General Illness/Weakness",45
"1028","Abdominal Pain NYD","General Illness/Weakness",8
"1029","Abdominal Trauma","General Illness/Weakness",0
"1030","Airway Trauma","General Illness/Weakness",0
"1031","Alcohol Intoxication","General Illness/Weakness",0
"1032","Altered LOC","General Illness/Weakness",6
"1033","Anaphylaxis","General Illness/Weakness",3
"1034","Back Pain","General Illness/Weakness",1
"1035","Behaviour/Psychiatric","General Illness/Weakness",1
"1036","Cardiac Trauma","General Illness/Weakness",0
"1037","Cardiac/Medical Arrest","General Illness/Weakness",0
"1038","Chest Trauma","General Illness/Weakness",0
"1039","CHF","General Illness/Weakness",0
"1040","Confusion/Disorientation","General Illness/Weakness",6
"1041","Convalescent/Invalid/Return Home","General Illness/Weakness",0
"1042","Diabetic Emergency","General Illness/Weakness",14
"1043","Drug Overdose","General Illness/Weakness",2
"1044","Exposure","General Illness/Weakness",1
"1045","General Illness/Weakness","General Illness/Weakness",197
"1046","GI Problems/Pain/Vomiting/Nausea","General Illness/Weakness",2
"1047","GU Problem/Pain","General Illness/Weakness",0
"1048","Gynecological Emergency","General Illness/Weakness",0
"1049","Head/Brain Trauma","General Illness/Weakness",1
"1050","Headache","General Illness/Weakness",3
"1051","Hemorrhage Minor","General Illness/Weakness",1
"1052","Hemorrhage/Hypovolemia Major","General Illness/Weakness",1
"1053","Hypotension Non-Traumatic","General Illness/Weakness",3
"1054","Inhalation Injury","General Illness/Weakness",0
"1055","Ischemic Chest Pain","General Illness/Weakness",23
"1056","Lift Assist (Dispatch Only)","General Illness/Weakness",3
"1057","Local Allergic Reaction","General Illness/Weakness",1
"1058","Musk/Skel Trauma","General Illness/Weakness",3
"1059","MVC (Dispatch Only)","General Illness/Weakness",0
"1060","Myocardial Infarction(Dx)","General Illness/Weakness",0
"1061","Newborn/Neonatal","General Illness/Weakness",0
"1062","Obstetrical Emergency","General Illness/Weakness",0
"1063","Obstruc./Anatomical/Med/Other","General Illness/Weakness",0
"1064","Obstruc./Foreign Body","General Illness/Weakness",0
"1065","Organ Donor","General Illness/Weakness",0
"1066","Organ Retrieval","General Illness/Weakness",0
"1067","Other Cardiac","General Illness/Weakness",4
"1068","Other Medical/Trauma","General Illness/Weakness",20
"1069","Palpitations","General Illness/Weakness",2
"1070","Paralysis/Spinal Trauma","General Illness/Weakness",1
"1071","Poisoning/Toxic Exposure","General Illness/Weakness",0
"1072","Resp. Arrest","General Illness/Weakness",0
"1073","Resp. Disease","General Illness/Weakness",1
"1074","Resp. Distress","General Illness/Weakness",58
"1075","Seizure/Post Ictal","General Illness/Weakness",3
"1076","Sepsis (Prev. Dx)","General Illness/Weakness",1
"1077","Stroke/TIA","General Illness/Weakness",27
"1078","Syncope","General Illness/Weakness",4
"1079","Trauma Unknown (Dispatch Only)","General Illness/Weakness",1
"1080","Traumatic Arrest","General Illness/Weakness",0
"1081","Treatment - Diagnostic/Return","General Illness/Weakness",0
"1082","Unconscious","General Illness/Weakness",13
"1083","Unknown (Dispatch Only)","General Illness/Weakness",7
"1084","","GI Problems/Pain/Vomiting/Nausea",15
"1085","Abdominal Pain NYD","GI Problems/Pain/Vomiting/Nausea",18
"1086","Abdominal Trauma","GI Problems/Pain/Vomiting/Nausea",1
"1087","Airway Trauma","GI Problems/Pain/Vomiting/Nausea",0
"1088","Alcohol Intoxication","GI Problems/Pain/Vomiting/Nausea",0
"1089","Altered LOC","GI Problems/Pain/Vomiting/Nausea",0
"1090","Anaphylaxis","GI Problems/Pain/Vomiting/Nausea",2
"1091","Back Pain","GI Problems/Pain/Vomiting/Nausea",0
"1092","Behaviour/Psychiatric","GI Problems/Pain/Vomiting/Nausea",0
"1093","Cardiac Trauma","GI Problems/Pain/Vomiting/Nausea",0
"1094","Cardiac/Medical Arrest","GI Problems/Pain/Vomiting/Nausea",1
"1095","Chest Trauma","GI Problems/Pain/Vomiting/Nausea",0
"1096","CHF","GI Problems/Pain/Vomiting/Nausea",0
"1097","Confusion/Disorientation","GI Problems/Pain/Vomiting/Nausea",2
"1098","Convalescent/Invalid/Return Home","GI Problems/Pain/Vomiting/Nausea",0
"1099","Diabetic Emergency","GI Problems/Pain/Vomiting/Nausea",1
"1100","Drug Overdose","GI Problems/Pain/Vomiting/Nausea",0
"1101","Exposure","GI Problems/Pain/Vomiting/Nausea",0
"1102","General Illness/Weakness","GI Problems/Pain/Vomiting/Nausea",6
"1103","GI Problems/Pain/Vomiting/Nausea","GI Problems/Pain/Vomiting/Nausea",104
"1104","GU Problem/Pain","GI Problems/Pain/Vomiting/Nausea",0
"1105","Gynecological Emergency","GI Problems/Pain/Vomiting/Nausea",0
"1106","Head/Brain Trauma","GI Problems/Pain/Vomiting/Nausea",0
"1107","Headache","GI Problems/Pain/Vomiting/Nausea",1
"1108","Hemorrhage Minor","GI Problems/Pain/Vomiting/Nausea",1
"1109","Hemorrhage/Hypovolemia Major","GI Problems/Pain/Vomiting/Nausea",0
